$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
---------------------------------------------------
BC_82437             | 1 |  0.48 |    0.48 |   0.48
BC_82454             | 1 |  0.48 |    0.48 |   0.95
BC_82473             | 1 |  0.48 |    0.48 |   1.43
BC_82500             | 1 |  0.48 |    0.48 |   1.90
BC_82501             | 1 |  0.48 |    0.48 |   2.38
BC_82520             | 1 |  0.48 |    0.48 |   2.86
BC_82533             | 1 |  0.48 |    0.48 |   3.33
BC_82542             | 1 |  0.48 |    0.48 |   3.81
BC_82563             | 1 |  0.48 |    0.48 |   4.29
BC_82570             | 1 |  0.48 |    0.48 |   4.76
BC_82575             | 1 |  0.48 |    0.48 |   5.24
BC_82595             | 1 |  0.48 |    0.48 |   5.71
BC_82633             | 1 |  0.48 |    0.48 |   6.19
BC_82635             | 1 |  0.48 |    0.48 |   6.67
BC_82636             | 1 |  0.48 |    0.48 |   7.14
BC_82639             | 1 |  0.48 |    0.48 |   7.62
BC_82646             | 1 |  0.48 |    0.48 |   8.10
BC_82652             | 1 |  0.48 |    0.48 |   8.57
BC_82653             | 1 |  0.48 |    0.48 |   9.05
BC_82654             | 1 |  0.48 |    0.48 |   9.52
BC_82665             | 1 |  0.48 |    0.48 |  10.00
BC_82676             | 1 |  0.48 |    0.48 |  10.48
BC_82684             | 1 |  0.48 |    0.48 |  10.95
BC_82687             | 1 |  0.48 |    0.48 |  11.43
BC_82689             | 1 |  0.48 |    0.48 |  11.90
BC_82697             | 1 |  0.48 |    0.48 |  12.38
BC_82700             | 1 |  0.48 |    0.48 |  12.86
BC_82706             | 1 |  0.48 |    0.48 |  13.33
BC_82710             | 1 |  0.48 |    0.48 |  13.81
BC_82732             | 1 |  0.48 |    0.48 |  14.29
BC_82742             | 1 |  0.48 |    0.48 |  14.76
BC_82755             | 1 |  0.48 |    0.48 |  15.24
BC_82759             | 1 |  0.48 |    0.48 |  15.71
BC_82762             | 1 |  0.48 |    0.48 |  16.19
BC_82765             | 1 |  0.48 |    0.48 |  16.67
BC_82782             | 1 |  0.48 |    0.48 |  17.14
BC_82783             | 1 |  0.48 |    0.48 |  17.62
BC_82786             | 1 |  0.48 |    0.48 |  18.10
BC_82788             | 1 |  0.48 |    0.48 |  18.57
BC_82797             | 1 |  0.48 |    0.48 |  19.05
BC_82800             | 1 |  0.48 |    0.48 |  19.52
BC_82802             | 1 |  0.48 |    0.48 |  20.00
BC_82805             | 1 |  0.48 |    0.48 |  20.48
BC_82808             | 1 |  0.48 |    0.48 |  20.95
BC_82809             | 1 |  0.48 |    0.48 |  21.43
BC_82811             | 1 |  0.48 |    0.48 |  21.90
BC_82836             | 1 |  0.48 |    0.48 |  22.38
BC_82838             | 1 |  0.48 |    0.48 |  22.86
BC_82860             | 1 |  0.48 |    0.48 |  23.33
BC_82864             | 1 |  0.48 |    0.48 |  23.81
BC_82889             | 1 |  0.48 |    0.48 |  24.29
BC_82892             | 1 |  0.48 |    0.48 |  24.76
BC_82893             | 1 |  0.48 |    0.48 |  25.24
BC_82894             | 1 |  0.48 |    0.48 |  25.71
BC_82904             | 1 |  0.48 |    0.48 |  26.19
BC_82908             | 1 |  0.48 |    0.48 |  26.67
BC_82911             | 1 |  0.48 |    0.48 |  27.14
BC_82912             | 1 |  0.48 |    0.48 |  27.62
BC_82923             | 1 |  0.48 |    0.48 |  28.10
BC_82931             | 1 |  0.48 |    0.48 |  28.57
BC_82934             | 1 |  0.48 |    0.48 |  29.05
BC_82942             | 1 |  0.48 |    0.48 |  29.52
BC_82968             | 1 |  0.48 |    0.48 |  30.00
BC_83001             | 1 |  0.48 |    0.48 |  30.48
BC_83004             | 1 |  0.48 |    0.48 |  30.95
BC_83023             | 1 |  0.48 |    0.48 |  31.43
BC_83026             | 1 |  0.48 |    0.48 |  31.90
BC_83031             | 1 |  0.48 |    0.48 |  32.38
BC_83033             | 1 |  0.48 |    0.48 |  32.86
